image,video_pred,minutage_pred
i144,v055,0.000000
i145,v003,0.000000
i146,v017,0.000000
i147,v005,0.000000
i148,v030,3.233333
i149,v099,0.000000
i150,v024,5.033333
i151,v051,0.000000
i152,v023,0.000000
i153,out,
i154,v053,0.000000
i155,v030,9.733333
i156,out,
i157,v030,3.166667
i158,v036,0.000000
i159,v015,6.866667
i160,v007,18.166667
i161,out,
i162,out,
i163,v030,0.000000
i164,v009,0.266667
i165,out,
i166,v011,15.700000
i167,v042,0.000000
i168,v051,0.000000
i169,v049,0.000000
i170,out,
i171,v043,7.966667
i172,v016,5.900000
i173,v076,0.000000
i174,out,
i175,v009,0.066667
i176,v009,0.000000
i177,v052,0.000000
i178,v045,0.000000
i179,v013,0.000000
i180,v004,6.433333
i181,v030,3.200000
i182,v015,5.266667
i183,v026,0.000000
i184,out,
i185,v013,0.000000
i186,v014,0.033333
i187,v016,5.700000
i188,v041,9.033333
i189,v078,0.000000
i190,v061,2.500000
i191,v015,2.400000
i192,out,
i193,v030,6.266667
i194,v030,1.766667
i195,v082,4.100000
i196,v046,0.000000
i197,v079,0.000000
i198,v100,2.466667
i199,v008,0.000000
i200,v030,6.266667
i201,v041,0.000000
i202,v015,2.933333
i203,v001,0.000000
i204,out,
i205,v015,6.866667
i206,v030,2.733333
i207,v029,0.000000
i208,v048,0.000000
i209,out,
i210,v037,0.700000
i211,v010,0.000000
i212,v049,0.000000
i213,v009,0.000000
i214,out,
i215,v037,0.000000
i216,out,
i217,v013,13.100000
i218,v079,0.000000
i219,v080,0.000000
i220,v019,0.000000
i221,v002,4.166667
i222,v017,0.066667
i223,v052,4.133333
i224,v009,0.000000
i225,v031,0.000000
i226,v089,3.166667
i227,v003,0.000000
i228,v036,0.000000
i229,v012,3.433333
i230,v082,5.933333
i231,v008,0.766667
i232,v066,0.000000
i233,v084,5.500000
i234,v004,3.333333
i235,out,
i236,v007,0.000000
i237,v003,0.000000
i238,v043,0.000000
i239,v094,9.766667
i240,v004,6.866667
i241,v091,0.000000
i242,v019,1.300000
i243,v044,0.000000
i244,v046,0.000000
i245,v029,2.266667
i246,v029,4.433333
i247,v065,0.000000
i248,v006,2.033333
i249,v023,0.000000
i250,v033,9.866667
i251,v033,10.200000
i252,v055,0.000000
i253,v011,4.100000
i254,v041,0.000000
i255,v013,12.433333
i256,v016,4.100000
i257,out,
i258,v029,0.000000
i259,v018,0.000000
i260,v064,0.000000
i261,v072,15.033333
i262,v076,0.000000
i263,v023,0.000000
i264,v085,0.000000
i265,v015,13.900000
i266,out,
i267,v043,8.066667
i268,v012,7.566667
i269,out,
i270,v010,0.000000
i271,out,
i272,out,
i273,v015,13.800000
i274,v004,5.166667
i275,v018,0.000000
i276,out,
i277,v030,6.266667
i278,v004,2.433333
i279,v045,0.000000
i280,out,
i281,v077,0.000000
i282,v072,0.066667
i283,out,
i284,v024,15.066667
i285,v099,0.000000
i286,out,
i287,v094,10.466667
i288,out,
i289,v030,3.366667
i290,v050,4.166667
i291,out,
i292,v081,0.000000
i293,v062,0.000000
i294,v030,4.000000
i295,v048,0.000000
i296,v006,2.033333
i297,v029,0.000000
i298,v008,1.600000
i299,out,
i300,v038,0.233333
i301,v057,0.000000
i302,v030,9.700000
i303,v011,4.233333
i304,v003,0.000000
i305,out,
i306,out,
i307,v050,0.000000
i308,v008,4.333333
i309,v015,6.500000
i310,v034,0.000000
i311,out,
i312,v030,6.500000
i313,v014,0.000000
i314,v015,11.066667
i315,v031,0.000000
i316,v004,7.233333
i317,v016,6.300000
i318,v013,12.100000
i319,v064,0.000000
i320,v016,0.000000
i321,out,
i322,v057,0.000000
i323,v009,0.000000
i324,v062,1.500000
i325,out,
i326,v057,0.000000
i327,v057,8.433333
i328,v023,0.000000
i329,v003,0.000000
i330,v015,7.733333
i331,v082,0.000000
i332,v028,0.000000
i333,v028,0.000000
i334,out,
i335,v044,0.000000
i336,v027,0.000000
i337,v051,0.000000
i338,v077,0.000000
i339,v042,1.966667
i340,v064,0.000000
i341,v044,0.000000
i342,v053,0.000000
i343,v078,0.000000
i344,v043,0.000000
i345,v003,0.000000
i346,v018,0.000000
i347,v016,4.100000
i348,v014,0.000000
i349,v013,0.000000
i350,v038,0.000000
i351,v011,0.000000
i352,v024,15.066667
i353,v043,0.000000
i354,v011,4.633333
i355,v012,8.566667
i356,v050,0.000000
i357,v061,2.400000
i358,v061,3.666667
i359,v053,0.000000
i360,v030,6.166667
i361,v033,0.000000
i362,out,
i363,v017,0.866667
i364,out,
i365,v016,0.000000
i366,out,
i367,v009,0.233333
i368,v024,0.000000
i369,v008,4.166667
i370,v015,5.466667
i371,v015,6.833333
i372,v036,0.900000
i373,v096,0.000000
i374,v031,0.000000
i375,v009,0.233333
i376,v021,3.533333
i377,out,
i378,v064,0.000000
i379,out,
i380,v061,3.933333
i381,v018,0.000000
i382,v030,9.666667
i383,v076,0.000000
i384,v063,2.066667
i385,v003,4.033333
i386,v013,11.166667
i387,v030,3.966667
i388,v002,1.233333
i389,v004,6.433333
i390,v001,0.000000
i391,v063,2.333333
i392,v068,0.000000
i393,v071,0.000000
i394,out,
i395,v066,1.466667
i396,out,
i397,out,
i398,v015,6.566667
i399,v019,1.733333
i400,v099,5.266667
i401,v030,3.333333
i402,v082,0.000000
i403,v058,0.033333
i404,v100,6.333333
i405,v068,0.000000
i406,v012,7.933333
i407,v016,6.166667
i408,v030,3.333333
i409,v066,0.000000
i410,v029,0.000000
i411,out,
i412,v006,8.233333
i413,v049,0.000000
i414,v011,4.666667
i415,v030,2.600000
i416,v019,0.000000
i417,v003,3.466667
i418,v012,1.566667
i419,v048,0.000000
i420,v007,0.000000
i421,v058,2.300000
i422,v031,0.000000
i423,v033,0.000000
i424,v027,0.000000
i425,v028,0.000000
i426,v043,5.600000
i427,v072,0.000000
i428,v011,4.366667
i429,v015,13.900000
i430,v043,0.000000
i431,v072,0.000000
i432,out,
i433,v004,2.433333
i434,out,
i435,v004,0.000000
i436,v030,3.333333
i437,out,
i438,v065,0.000000
i439,v008,2.966667
i440,v043,7.966667
i441,v011,0.000000
i442,out,
i443,v027,0.000000
i444,v002,0.566667
i445,v082,5.933333
i446,v006,2.033333
i447,v073,0.000000
i448,v030,3.333333
i449,out,
i450,v098,0.000000
i451,v003,0.000000
i452,out,
i453,out,
i454,v077,0.000000
i455,v003,5.600000
i456,v037,3.233333
i457,v020,0.000000
i458,v015,3.033333
i459,v028,0.000000
i460,v082,0.000000
i461,v030,3.333333
i462,v015,7.266667
i463,v004,7.000000
i464,v031,0.000000
i465,v045,0.000000
i466,out,
i467,v006,2.333333
i468,v015,3.100000
i469,v014,0.000000
i470,v028,0.000000
i471,v014,0.000000
i472,v015,13.233333
i473,v006,2.066667
i474,v007,0.000000
i475,out,
i476,v046,0.000000
i477,v021,4.633333
i478,v079,0.000000
i479,v076,18.633333
i480,v030,3.966667
i481,v004,7.133333
i482,v029,2.266667
i483,out,
i484,v013,11.900000
i485,v070,0.000000
i486,v086,0.000000
i487,v015,13.866667
i488,v070,0.000000
i489,v081,0.000000
i490,v094,10.566667
i491,v076,8.933333
i492,v021,3.133333
i493,out,
i494,v023,0.000000
i495,v010,0.000000
i496,v030,9.566667
i497,out,
i498,out,
i499,v012,8.566667
i500,v045,9.500000
i501,out,
i502,v007,0.000000
i503,out,
i504,v045,9.500000
i505,v002,0.000000
i506,v091,0.000000
i507,v033,0.000000
i508,out,
i509,v045,0.000000
i510,v007,0.000000
i511,v005,0.000000
i512,v029,1.133333
i513,v015,6.166667
i514,v045,6.833333
i515,v057,8.100000
i516,v016,4.266667
i517,v032,0.000000
i518,v030,3.200000
i519,v018,0.000000
i520,v018,0.000000
i521,v007,0.000000
i522,v048,0.000000
i523,v045,0.000000
i524,v010,0.000000
i525,v011,4.500000
i526,v041,0.000000
i527,v036,0.000000
i528,v070,0.000000
i529,v039,0.000000
i530,v014,0.000000
i531,v043,0.000000
i532,v012,8.533333
i533,v009,0.000000
i534,v057,0.000000
i535,v030,7.800000
i536,v015,0.000000
i537,v006,1.966667
i538,v004,6.533333
i539,v050,0.000000
i540,v017,0.000000
i541,v015,5.300000
i542,v016,6.466667
i543,v008,1.666667
i544,v009,0.000000
i545,v024,9.833333
i546,v058,0.033333
i547,v017,0.000000
i548,v019,1.700000
i549,v029,1.033333
i550,v049,0.000000
i551,v029,0.000000
i552,v004,6.500000
i553,v037,0.000000
i554,v015,6.300000
i555,v028,0.000000
i556,v061,3.633333
i557,v030,2.733333
i558,v072,0.600000
i559,v008,1.933333
i560,v094,9.266667
i561,v013,13.100000
i562,v015,3.266667
i563,out,
i564,v015,10.533333
i565,v066,1.466667
i566,v015,2.866667
i567,out,
i568,v029,0.000000
i569,v084,4.100000
i570,v050,0.000000
i571,out,
i572,v030,2.666667
i573,v015,8.366667
i574,v060,0.300000
i575,out,
i576,v067,0.000000
i577,out,
i578,v076,0.000000
i579,v024,15.066667
i580,v042,0.000000
i581,v041,0.000000
i582,v099,0.000000
i583,v048,0.000000
i584,v007,0.000000
i585,v030,3.233333
i586,v050,0.000000
i587,v011,3.866667
i588,out,
i589,v076,0.000000
i590,v046,0.000000
i591,v005,2.266667
i592,v020,0.000000
i593,v070,0.000000
i594,v024,5.033333
i595,v015,13.066667
i596,v030,2.633333
i597,v057,0.000000
i598,v009,11.400000
i599,v084,0.000000
i600,out,
i601,v003,0.000000
i602,v030,2.566667
i603,v007,0.000000
i604,v019,2.533333
i605,v081,0.000000
i606,v018,0.000000
i607,v019,1.733333
i608,v039,0.000000
i609,v011,15.700000
i610,v029,2.300000
i611,v008,0.000000
i612,v064,0.000000
i613,v017,0.033333
i614,v030,3.200000
i615,v007,0.000000
i616,v049,0.000000
i617,v057,1.600000
i618,v019,1.566667
i619,v006,2.066667
i620,v012,8.033333
i621,v008,11.700000
i622,v015,13.266667
i623,out,
i624,v006,2.033333
i625,v014,0.000000
i626,v079,0.000000
i627,v009,0.000000
i628,v007,0.000000
i629,v036,0.766667
i630,v037,0.633333
i631,v004,2.433333
i632,v004,3.666667
i633,v015,13.500000
i634,v024,9.666667
i635,v021,0.033333
i636,v075,10.766667
i637,v076,0.000000
i638,v042,0.000000
i639,v008,2.066667
i640,v012,8.400000
i641,v030,3.333333
i642,v003,0.000000
i643,v091,0.000000
i644,v019,1.566667
i645,out,
i646,v030,3.333333
i647,v070,0.000000
i648,v013,12.600000
i649,v030,3.300000
i650,v049,1.533333
i651,out,
i652,v062,0.100000
i653,v023,0.000000
i654,v050,14.166667
i655,v037,2.366667
i656,v044,0.000000
i657,v052,3.300000
i658,v015,2.933333
i659,v011,15.700000
i660,out,
i661,v034,0.000000
i662,v008,4.300000
i663,v030,3.333333
i664,v014,1.233333
i665,v038,2.166667
i666,v012,8.700000
i667,v009,9.833333
i668,out,
i669,v070,0.000000
i670,v042,7.933333
i671,out,
i672,v058,0.033333
i673,out,
i674,v068,0.000000
i675,v077,0.000000
i676,out,
i677,v021,4.333333
i678,v096,2.366667
i679,v080,0.000000
i680,v042,8.033333
i681,v080,17.000000
i682,v015,7.133333
i683,v088,0.566667
i684,v012,8.400000
i685,v053,0.000000
i686,v041,0.000000
i687,v013,12.300000
i688,v003,0.000000
i689,v080,0.000000
i690,v003,5.400000
i691,v045,0.000000
i692,v024,15.066667
i693,v030,9.533333
i694,v004,1.766667
i695,v016,4.166667
i696,v050,16.266667
i697,v030,3.200000
i698,v007,0.000000
i699,v062,2.300000
i700,out,
i701,v037,0.733333
i702,v053,0.000000
i703,v030,3.333333
i704,v042,6.433333
i705,v064,0.000000
i706,v013,9.466667
i707,out,
i708,v055,0.000000
i709,out,
i710,v100,0.000000
i711,v009,0.433333
i712,v045,0.000000
i713,v030,2.566667
i714,v051,0.000000
i715,v076,8.766667
i716,v016,0.000000
i717,v012,0.500000
i718,v072,0.533333
i719,v077,0.000000
i720,v016,4.300000
i721,v070,0.000000
i722,v009,3.766667
i723,v016,4.366667
i724,out,
i725,v008,0.266667
i726,v088,4.533333
i727,v003,0.000000
i728,v058,2.333333
i729,v001,0.000000
i730,out,
i731,v030,0.133333
i732,v021,2.100000
i733,v044,0.000000
i734,out,
i735,v037,0.000000
i736,out,
i737,v081,0.000000
i738,v043,0.000000
i739,v039,0.000000
i740,v013,13.166667
i741,out,
i742,v042,2.900000
i743,out,
i744,v073,0.000000
i745,v011,15.700000
i746,v077,0.000000
i747,v020,0.000000
i748,v004,6.666667
i749,v024,15.066667
i750,v029,0.000000
i751,v006,2.766667
i752,out,
i753,v018,0.000000
i754,v066,1.933333
i755,v089,1.766667
i756,v011,4.166667
i757,v061,0.000000
i758,v057,7.333333
i759,v030,3.333333
i760,v037,2.300000
i761,v007,12.700000
i762,v030,2.733333
i763,v037,6.066667
i764,v079,0.000000
i765,v015,5.333333
i766,out,
i767,v098,0.633333
i768,v037,0.000000
i769,v007,2.866667
i770,v066,1.000000
i771,v061,3.633333
i772,v010,0.000000
i773,v096,1.433333
i774,out,
i775,v010,0.000000
i776,out,
i777,out,
i778,v003,0.000000
i779,v013,0.000000
i780,out,
i781,v026,0.000000
i782,v012,7.666667
i783,v020,0.000000
i784,v013,11.766667
i785,v005,0.000000
i786,v031,0.000000
i787,v013,9.966667
i788,v043,7.966667
i789,v009,0.033333
i790,out,
i791,v022,7.100000
i792,out,
i793,v024,9.666667
i794,v013,0.000000
i795,out,
i796,v068,0.000000
i797,v040,0.000000
i798,v035,0.000000
i799,v037,7.666667
i800,v100,6.500000
i801,v052,5.533333
i802,v045,0.000000
i803,v077,0.000000
i804,v014,0.000000
i805,v011,15.700000
i806,out,
i807,v012,0.000000
i808,v064,0.000000
i809,v011,4.266667
i810,v030,3.166667
i811,v015,14.100000
i812,v041,0.000000
i813,v065,7.000000
i814,out,
i815,out,
i816,v015,13.166667
i817,v030,1.766667
i818,v027,0.000000
i819,v013,11.633333
i820,out,
i821,v015,0.000000
i822,out,
i823,v048,0.000000
i824,v015,7.700000
i825,v030,3.833333
i826,v003,0.000000
i827,v012,7.366667
i828,v027,0.000000
i829,v036,0.000000
i830,v029,0.000000
i831,v018,0.000000
i832,v004,5.500000
i833,out,
i834,v043,7.966667
i835,v013,0.000000
i836,v003,0.000000
i837,v015,7.200000
i838,v068,0.000000
i839,out,
i840,v030,9.733333
i841,v017,0.033333
i842,out,
i843,v015,13.833333
i844,out,
i845,v026,0.000000
i846,v015,13.700000
i847,v026,0.000000
i848,v053,0.000000
i849,out,
i850,v066,0.000000
i851,v100,6.366667
i852,v099,0.000000
i853,v025,0.000000
i854,v058,0.033333
i855,v049,0.000000
i856,v030,0.000000
i857,v030,3.333333
i858,v004,3.766667
i859,out,
i860,v098,1.666667
i861,v007,0.000000
i862,v030,0.666667
i863,v013,13.166667
i864,v045,0.000000
i865,v068,0.000000
i866,v048,0.000000
i867,v047,0.000000
i868,out,
i869,out,
i870,v099,1.066667
i871,v062,0.566667
i872,v021,3.766667
i873,v030,0.533333
i874,v045,0.000000
i875,v029,0.000000
i876,v015,13.300000
i877,out,
i878,v023,0.000000
i879,v003,0.633333
i880,v034,0.000000
i881,v009,2.433333
i882,v015,13.500000
i883,v058,0.033333
i884,v088,2.233333
i885,out,
i886,v082,7.666667
i887,v013,0.000000
i888,out,
i889,v011,15.700000
i890,v011,0.000000
i891,v005,0.000000
i892,v008,3.166667
i893,v021,1.533333
i894,v015,5.466667
i895,v099,1.133333
i896,v017,0.000000
i897,v010,0.000000
i898,v080,0.000000
i899,v013,13.133333
i900,v051,0.000000
i901,v009,0.000000
i902,v015,13.900000
i903,out,
i904,v007,0.000000
i905,v062,1.133333
i906,v009,1.533333
i907,out,
i908,v035,0.000000
i909,v018,0.000000
i910,v015,8.033333
i911,v055,0.000000
i912,v063,3.900000
i913,v061,2.366667
i914,v036,0.000000
i915,v043,7.533333
i916,v015,13.900000
i917,v029,0.000000
i918,v003,0.000000
i919,v014,0.000000
i920,v012,7.500000
i921,v065,6.033333
i922,v009,0.000000
i923,v073,0.000000
i924,out,
i925,v052,2.266667
i926,v045,5.833333
i927,out,
i928,out,
i929,v091,0.000000
i930,v024,15.066667
i931,v077,0.000000
i932,v077,0.000000
i933,v081,0.000000
i934,v050,2.600000
i935,v015,2.733333
i936,v032,0.000000
i937,v030,8.366667
i938,v013,10.433333
i939,v015,13.166667
i940,out,
i941,v072,0.000000
i942,v016,5.500000
i943,v022,0.000000
i944,v012,8.233333
i945,v007,7.766667
i946,v037,0.000000
i947,v067,0.000000
i948,v035,0.000000
i949,v043,8.066667
i950,v042,0.000000
i951,v015,13.733333
i952,v009,0.000000
i953,v016,4.166667
i954,v045,0.000000
i955,v021,0.033333
i956,v035,0.000000
i957,out,
i958,v007,0.000000
i959,v002,0.000000
i960,v015,6.833333
i961,out,
i962,v015,7.133333
i963,out,
i964,v077,0.000000
i965,v051,0.000000
i966,v085,0.000000
i967,out,
i968,v012,7.500000
i969,v004,7.233333
i970,v030,5.800000
i971,v023,0.000000
i972,v099,0.000000
i973,v015,13.900000
i974,v072,0.033333
i975,v062,0.066667
i976,v098,0.000000
i977,v012,8.533333
i978,v058,2.266667
i979,v049,0.000000
i980,v053,0.000000
i981,v044,0.000000
i982,v013,0.000000
i983,v050,16.233333
i984,v029,0.000000
i985,v015,6.866667
i986,v025,0.000000
i987,v037,0.066667
i988,v016,0.000000
i989,v099,0.133333
i990,v015,5.533333
i991,v089,7.466667
i992,v081,0.000000
i993,v010,0.000000
i994,v086,0.000000
i995,v073,0.000000
i996,v100,0.000000
i997,v027,3.500000
i998,v042,0.000000
i999,v016,6.466667
